Name,Final Price
KTL,55.70
SANWARIA,-
ARVEE,176.00
GEPIL,364.00
KORE,440.00
ZENITHEXPO,204.00
INDSWFTLTD,20.85
SURYODAY,179.00
ARCHIDPLY,103.85
AGROPHOS,53.05
WEALTH,750.00
SETUINFRA,0.80
SCILAL,49.00
ENERGYDEV,28.35
PALASHSECU,134.70
HITECHCORP,228.00
FCONSUMER,0.95
KEC,768.00
DPWIRES,548.00
GLOBAL,269.00
CLOUD,51.45
SRM,237.30
ANKITMETAL,4.20
HMT,52.50
JYOTISTRUC,25.20
RUCHINFRA,14.70
IZMO,312.90
GENSOL,995.65
SWELECTES,"1,159.95"
MAGNUM,53.60
DHANBANK,49.40
INDOSTAR,231.25
HIRECT,678.00
WELINV,855.70
CUPID,123.00
SURANI,520.55
PRITI,187.20
DEVIT,122.00
PLAZACABLE,98.95
SKMEGGPROD,262.20
CALSOFT,16.85
3PLAND,32.65
ARHAM,212.85
ABINFRA,72.75
RSSOFTWARE,228.80
BLUEPEBBLE,219.35
BGRENERGY,42.20
ASPIRE,62.25
SIMPLEXINF,124.55
TCL,167.85
TARC,166.80
SETCO,7.40
SAKHTISUG,37.00
BRNL,67.70
SERVOTECH,94.20
ENSER,72.00
VISASTEEL,23.30
ASTRON,23.30
ARSSINFRA,21.20
ROLTA,5.30
SURANASOL,44.55
VASWANI,38.20
GRAPHISAD,53.10
AGSTRA,81.80
ORTINLAB,21.25
VHLTD,43.60
ARENTERP,44.75
NIRAJ,44.75
AISL,85.25
SUMIT,62.90
WEL,825.00
CORALFINAC,44.85
LASA,26.70
GVKPIL,11.75
KEYFINSERV,172.00
63MOONS,463.30
HCL-INSYS,20.40
FCSSOFT,4.30
KANANIIND,4.30
NAGAFERT,10.75
RPOWER,33.35
MANAKCOAT,36.60
MKPL,11.85
DHTL,223.00
AKSHOPTFBR,9.70
ESSARSHPNG,24.80
KSHITIJPOL,5.40
INDOWIND,23.80
LYPSAGEMS,6.50
JHS,19.50
MOKSH,20.60
SHIVAMAUTO,43.40
JPPOWER,18.45
BRIGHT,9.80
BAFNAPH,92.70
NILASPACES,7.70
LCCINFOTEC,2.20
MELSTAR,5.50
ANSALAPI,11.00
GATECHDVR,3.30
SURANAT&P,17.75
MADHUCON,11.15
BURNPUR,6.70
VERANDA,207.75
NOIDATOLL,8.95
SYNCOMF,13.45
UNITECH,13.45
SANGINITA,23.55
GTL,11.25
SVPGLOB,6.75
RAJMET,12.40
NILAINFRA,12.40
BANKA,112.90
GOYALALUM,10.20
RKDL,24.00
MUKTAARTS,80.00
MORARJEE,20.60
KAVVERITEL,13.75
MTEDUCARE,3.45
SUPERSPIN,8.05
VCL,1.15
SPTL,1.15
PRAKASHSTL,9.20
DPSCLTD,18.50
INNOVATIVE,6.95
TVVISION,5.80
RVHL,45.50
PILITA,14.00
LIBAS,21.20
LGBFORGE,10.65
CUBEXTUB,106.50
GMRP&UI,50.90
GREENPOWER,22.50
KHAITANLTD,69.90
MOTOGENFIN,36.80
SBCL,598.45
GKWLIMITED,"1,700.00"
TATAINVEST,"7,544.00"
URJA,22.70
ASHOKAMET,21.60
HDIL,4.80
SAMBHAAV,6.00
ABAN,60.00
ACL,93.80
MICEL,47.00
PRAENG,29.00
EIMCOELECO,"1,848.00"
SABEVENTS,6.05
MANAKSTEEL,67.80
AKASH,37.70
BIRLAMONEY,115.80
CCHHL,15.85
FRETAIL,2.45
TFL,12.25
IEL,12.25
IREDA,163.85
KRISHNADEF,446.00
INOXGREEN,142.00
KILITCH,398.90
HAVISHA,2.50
CEREBRAINT,7.50
HMAAGRO,61.50
RBZJEWEL,166.00
AARVEEDEN,27.85
EDUCOMP,3.80
GANGESSECU,134.40
MALUPAPER,43.20
SECURKLOUD,44.50
PIONEEREMB,43.40
LAGNAM,131.60
TIRUPATIFL,19.20
IMPEXFERRO,3.85
DBSTOCKBRO,44.95
VISAKAIND,121.70
ANMOL,50.95
OSIAHYPER,32.75
NITCO,67.20
SUPREMEPWR,149.40
AKSHAR,2.65
SRGHFL,284.00
TARMAT,107.00
GATECH,1.35
AMBICAAGAR,28.50
AKG,21.80
SBC,23.20
UMESLTD,5.50
ORIENTLTD,90.80
RAMANEWS,17.95
TGBHOTELS,16.80
GOLDENTOBC,45.00
HLVLTD,32.40
NEXTMEDIA,7.05
BYKE,64.90
INDOTECH,"1,150.00"
MBLINFRA,56.45
JAYNECOIND,56.95
TIPSFILMS,710.00
CHEMFAB,735.00
SICALLOG,211.50
MSPL,30.70
DOLPHIN,304.90
AAATECH,91.75
JAIPURKURT,54.40
SANDUMA,406.00
OSWALGREEN,35.00
SHYAMCENT,19.90
IDEA,14.00
ADROITINFO,17.15
JISLDVREQS,35.90
NDRAUTO,882.40
HINDCON,55.00
ESCONET,199.00
MCLEODRUSS,28.50
MEGATHERM,313.95
MARSHALL,28.55
CENTEXT,22.50
CONSOFINVT,257.85
RTNPOWER,9.80
ATLANTAA,24.60
COFORGE,"5,840.00"
RELCHEMQ,238.00
FIDEL,111.00
ZENITHSTL,8.30
BHAGYANGR,104.70
JINDALPHOT,636.95
DUCON,8.40
HINDCOPPER,321.00
RAJTV,67.25
USK,57.40
SPMLINFRA,138.50
HECPROJECT,79.85
PARACABLES,79.90
ROLLT,1.70
KPIGREEN,"1,718.95"
WSI,157.50
MCL,38.00
TREJHARA,169.70
MITTAL,1.75
ZEEMEDIA,12.35
KAMATHOTEL,297.50
GPTINFRA,189.95
RCOM,1.80
GTLINFRA,1.80
NARMADA,23.50
MANGALAM,103.40
AAVAS,"1,435.00"
VINEETLAB,56.90
S&SPOWER,250.00
SCPL,451.90
SUULD,7.50
SEPC,18.75
IRISDOREME,78.95
KAKATCEM,221.95
COUNCODOS,5.65
ZENTEC,"1,039.95"
LORDSCHLO,130.00
NETWEB,"1,707.30"
KBCGLOBAL,1.90
NECLIFE,36.20
LAXMICOT,30.55
OSWALSEEDS,30.60
NITIRAJ,182.00
OMINFRAL,149.50
APOLSINHOT,"1,868.95"
OWAIS,541.00
AKSHARCHEM,287.95
ORIENTALTL,9.75
AIRAN,27.35
HINDCOMPOS,428.95
PRINCEPIPE,623.00
PFS,43.35
SCHNEIDER,820.00
SALASAR,23.70
HINDMOTORS,19.80
PNC,61.45
TAKE,23.80
JGCHEM,234.75
NDL,37.95
TOTAL,107.95
SAKSOFT,290.60
RILINFRA,42.15
RBLBANK,259.00
SKYGOLD,"1,081.95"
SANGHIIND,99.50
LANCORHOL,51.00
GOKUL,40.95
PLATIND,211.00
FLFL,2.05
PPAP,205.90
ENFUSE,101.00
AUBANK,620.00
SHIVAMILLS,89.50
SIL,22.95
IVC,10.45
WEBELSOLAR,522.00
SGL,16.80
VEDL,306.05
KERNEX,619.00
COMPUSOFT,27.90
EPACK,182.70
DREDGECORP,759.90
LATTEYS,15.20
BHANDARI,8.70
INDRAMEDCO,202.50
TREEHOUSE,24.00
SUVIDHAA,6.55
FMNL,6.55
MMTC,78.65
ARCHIES,33.00
HINDALCO,590.00
SIGIND,73.00
VLEGOV,59.95
SURAJEST,317.80
SUZLON,44.50
L&TFH,174.05
MAHASTEEL,105.00
BAIDFIN,22.45
SAHYADRI,385.00
MONARCH,594.40
DMART,"4,562.00"
BEDMUTHA,217.80
EDELWEISS,75.00
GLS,814.90
METROBRAND,"1,120.00"
RPPL,88.00
PARSVNATH,16.25
KOTHARIPRO,130.00
AGRITECH,229.95
MMP,284.00
LPDC,9.35
GRWRHITECH,"1,828.00"
INOXWIND,550.00
SEQUENT,134.05
AGI,787.90
AAREYDRUGS,50.10
GET&D,945.25
PGIL,625.00
GUJALKALI,752.60
MEGASOFT,92.00
WEIZMANIND,118.65
SIMBHALS,29.10
UNIINFO,39.05
INVENTURE,2.45
HCC,36.80
NECCLTD,27.25
EMAMIREAL,114.00
TEXMOPIPES,87.70
SAH,97.90
DAMODARIND,47.85
ALLETEC,276.00
JMA,106.50
NATIONALUM,178.25
GANGAFORGE,10.20
ADANIPOWER,630.15
KAMOPAINTS,197.50
SMLT,228.30
BRIGADE,962.15
ASHIMASYN,20.65
PONNIERODE,432.20
HINDZINC,334.80
SGIL,364.00
NETWORK18,94.20
SARVESHWAR,10.50
RAINBOW,"1,360.00"
DELPHIFX,240.00
IFGLEXPOR,619.95
MADHAV,44.95
DCM,79.50
BHAGCHEM,"1,683.95"
GANESHHOUC,827.70
VITAL,79.90
MAITHANALL,"1,095.00"
TERASOFT,53.60
VSTL,329.70
TIDEWATER,"1,639.65"
BINANIIND,16.20
OMFURN,76.65
GALLANTT,208.30
RAJRILTD,21.95
IFCI,46.65
VARDHACRLC,57.90
KAMDHENU,579.00
APS,231.00
AAKASH,11.30
BCG,16.95
SIGMA,449.95
RITES,719.50
FLEXITUFF,-
CREST,413.85
GVPTECH,11.40
MOTISONS,171.00
GREENLAM,585.00
MFSL,"1,024.95"
NOVAAGRI,57.50
ASTRAL,"2,094.00"
UJJIVANSFB,52.00
KMSUGAR,31.95
AHL,307.90
AMIORG,"1,179.80"
TVSELECT,313.90
CINEVISTA,20.40
PVP,37.90
TRACXN,105.00
MUFTI,201.40
ISGEC,983.60
ATMASTCO,161.70
INDBANK,50.00
SANOFI,"8,791.10"
RPPINFRA,119.10
AROGRANITE,50.70
MANAKALUCO,29.90
ASIANENE,284.35
POONAWALLA,503.00
UNITEDPOLY,101.80
MUNJALAU,87.45
V2RETAIL,489.90
AETHER,839.00
UMANGDAIRY,88.00
CRAFTSMAN,"4,488.00"
ADSL,158.00
PCJEWELLER,60.80
DANGEE,9.15
VAKRANGEE,24.40
KNRCON,263.50
BSOFT,789.90
ONEPOINT,55.45
KPIL,"1,130.00"
SUNDARAM,3.10
ALKYLAMINE,"1,980.00"
LLOYDSENGG,55.95
APOLLO,112.00
ONMOBILE,78.00
PILANIINVS,"3,580.00"
HSCL,342.40
HLEGLAS,470.00
RADIOCITY,18.95
ELGIRUBCO,56.95
NUCLEUS,"1,363.00"
IIFL,357.25
SUNDARMHLD,213.90
BLISSGVS,120.00
BLSE,332.00
AURUM,149.90
KICL,"4,045.00"
CHOICEIN,295.00
BAJAJCON,236.70
CENTURYPLY,655.00
PATINTLOG,23.10
GULFOILLUB,"1,112.90"
NRAIL,489.00
AEROFLEX,142.20
SAGCEM,228.40
INDIANB,536.90
GANDHAR,229.00
SIKKO,79.70
ESAFSFB,59.95
THERMAX,"4,500.00"
RADIANTCMS,83.75
GOCLCORP,492.50
PYRAMID,171.20
NLCINDIA,235.00
RUCHIRA,124.30
PASUPTAC,40.40
MANORG,343.60
DIGISPICE,27.00
SHAILY,557.15
SELAN,486.30
ELGIEQUIP,597.85
HARIOMPIPE,517.05
NEOGEN,"1,270.80"
DOMS,"1,653.00"
NELCAST,145.50
TATAELXSI,"8,117.85"
AKZOINDIA,"2,484.45"
INDOBORAX,176.05
SONACOMS,680.55
DPABHUSHAN,904.75
DYCL,406.65
PEARLPOLY,33.90
UDS,332.25
ROHLTD,427.45
PRIMESECU,183.20
AJMERA,764.05
SUNFLAG,207.60
MUFIN,142.95
CYBERTECH,160.20
GENUSPAPER,20.60
SHARDAMOTR,"1,452.00"
IOLCP,392.70
DAVANGERE,82.70
EXICOM,206.80
NPST,"1,244.00"
JETFREIGHT,13.85
HDFCBANK,"1,504.00"
JYOTICNC,778.00
ASTERDM,424.00
FEDERALBNK,156.75
NIPPOBATRY,620.80
GAEL,171.05
SATIN,245.00
DIAMINESQ,525.50
VBL,"1,496.00"
IRMENERGY,501.05
KECL,123.40
NSIL,"3,544.00"
SUPRIYA,385.00
KRITINUT,102.45
HARDWYN,35.50
ARSHIYA,7.15
POCL,681.00
MAANALU,154.50
HAPPSTMNDS,830.00
SOMANYCERA,622.00
PNB,137.05
NIACL,242.50
IGPL,475.00
JBMA,"1,814.65"
MAHEPC,130.80
AZAD,"1,337.00"
TASTYBITE,"12,289.95"
IEX,145.85
PIXTRANS,"1,391.00"
MAHLIFE,620.80
AVPINFRA,76.70
CSBBANK,380.00
PERSISTENT,"4,028.00"
HONDAPOWER,"2,345.00"
ANDHRSUGAR,110.00
JAYBARMARU,124.70
FIVESTAR,752.80
TPLPLASTEH,70.20
AURIONPRO,"2,343.15"
ABB,"6,593.00"
SILINV,509.90
GHCL,498.00
ACLGATI,104.90
EIHAHOTELS,784.45
GENUSPOWER,259.00
IDFC,116.45
INDOAMIN,146.80
GABRIEL,369.85
TRIDENT,41.70
MINDTECK,216.45
BALAMINES,"2,151.85"
BPL,102.85
AMJLAND,38.20
SADHAV,184.00
STEELXIND,15.35
GODREJAGRO,538.60
KHADIM,333.00
BANKINDIA,147.20
DRCSYSTEMS,19.45
INTLCONV,89.55
LEXUS,39.00
JAICORPLTD,316.35
RPSGVENT,700.00
VIPULLTD,31.30
WINDMACHIN,82.20
SARLAPOLY,58.80
NCLIND,215.65
20MICRONS,156.95
AVG,620.00
BLUESTARCO,"1,365.60"
QUESS,565.00
SHREDIGCEM,106.70
MGEL,19.80
CANBK,614.70
SHIVALIK,587.00
CHOLAFIN,"1,210.00"
MEDICO,47.90
PVSL,271.95
NMDC,220.45
MANAPPURAM,196.50
JPASSOCIAT,20.10
KALYANKJIL,434.25
NURECA,294.35
LTTS,"5,828.95"
SBGLP,925.00
GLAND,"1,810.00"
SATINDLTD,105.40
THOMASCOOK,174.35
GREENPANEL,332.60
PATANJALI,"1,422.00"
